Id,Label,counts
0,대리찍사,167
1,IVE_ELEVEN,1898
2,아이브,13792
3,ウォニョン,467
4,Wonyoung,207
5,LEESEO,1157
6,이서,1787
7,ANYUJIN,232
8,アイヴ,612
9,LIZ,917
10,유진,1557
11,퇴근,156
12,출근,155
13,レイ,877
14,Rei,173
15,장원영,1606
16,원영,2362
17,JangWonyoung,179
18,AnYujin,458
19,REI,1473
20,ELEVEN,2700
21,가을,1553
22,리즈,1631
23,IVE,11278
24,YUJIN,631
25,최파타,143
26,아이브와_함께_heaven,382
27,레이,2298
28,데이터,182
29,프리뷰,214
30,Yujin,262
31,GAEUL,951
32,ive,171
33,WONYOUNG,1750
34,아이브고_일레븐교시,957
35,JANGWONYOUNG,424
36,안유진,1364
